target_redshift,redshift,output_name,node_index,merger_tree_index,is_central_galaxy,weight,stellar_mass_msun,log10_stellar_mass_msun,sfr_raw_msun_per_gyr,sfr_msun_per_year,log10_ssfr_per_year,black_hole_mass_msun,mdot_rest_msun_per_gyr,mdot_rest_g_per_s,radiative_efficiency_catalog,radiative_efficiency_used,rest_mass_power_erg_s,eddington_luminosity_erg_s,bolometric_luminosity_catalog_erg_s,bolometric_luminosity_erg_s,eddington_ratio_catalog,eddington_ratio,accretion_rate_eddington_paper,accretion_rate_eddington_galacticus,fraction_adaf,valid_accreting_black_hole,power_jet_galacticus,power_jet_erg_s,population_default,thin_disk_dominated
0,0,Output19,9991,17372,False,7.70435935121e-07,34174988404.1,10.5337083759,821519747.97,0.82151974797,-10.6190903683,1751866.525,0.0677490604942,4.26981500524e+15,5.10828491874e-07,5.10828491874e-07,3.83751834821e+36,2.2073518215e+44,1.96031371036e+30,1.96031371036e+30,8.88083943511e-15,8.88083943511e-15,1.73851685573e-08,1.74152006475e-08,1,True,12177963794.7,7.67503669642e+36,star_forming,False
0,0,Output19,1,17372,True,7.70435935121e-07,447729019420,11.651015244,5606532.0619,0.0056065320619,-13.9023209339,34003726.1153,207.744981562,1.30929142495e+19,6.15294582374e-05,6.15294582374e-05,1.17673244865e+40,4.28446949052e+45,7.2403710056e+35,7.2403710056e+35,1.68991073962e-10,1.68991073962e-10,2.74650677583e-06,2.75125124171e-06,1,True,3.73423756071e+13,2.35346489731e+40,quiescent,False
0,0,Output19,20170,17374,False,7.70061271165e-07,292034626922,11.4654343494,680950480.592,0.680950480592,-11.6323188186,24569425.2376,43555.9651439,2.74507000072e+21,0.0178136360096,0.0178136360096,2.46714587914e+42,3.09574757994e+45,4.39488386735e+40,4.39488386735e+40,1.41965187854e-05,1.41965187854e-05,0.000796946719792,0.000798323409104,0.999999999989,True,7.82922984751e+15,4.93429175822e+42,quiescent,False
0,0,Output19,19781,17374,False,7.70061271165e-07,113219413243,11.0539208998,22183620.7756,0.0221836207756,-12.7078884674,10272011.5961,0.000372840269249,2.3497875315e+13,4.67809473686e-10,4.67809473686e-10,2.11188371287e+34,1.29427346111e+45,9.87959208202e+24,9.87959208202e+24,7.63331118101e-21,7.63331118101e-21,1.63171368054e-11,1.63453239192e-11,1,True,67018424.5659,4.22376742573e+34,quiescent,False
0,0,Output19,19492,17374,False,7.70061271165e-07,41105682316,10.6139018615,1568784595.04,1.56878459504,-10.4183385454,2304716.71685,5.2298508018,3.29605979269e+17,2.86189992811e-05,2.86189992811e-05,2.9623508081e+38,2.90394306323e+44,8.47795156475e+33,8.47795156475e+33,2.91946204872e-11,2.91946204872e-11,1.02011325415e-06,1.02187545353e-06,1,True,940071098428,5.9247016162e+38,star_forming,False
0,0,Output19,18678,17374,False,7.70061271165e-07,14001763869.7,10.1461827493,66455989.8748,0.0664559898748,-11.323648618,1102431.90204,0.0897122578716,5.65402297862e+15,8.46846548518e-07,8.46846548518e-07,5.08158243273e+36,1.38906419657e+44,4.30332054417e+30,4.30332054417e+30,3.09799975754e-14,3.09799975754e-14,3.65827759818e-08,3.6645971068e-08,1,True,16125871271.6,1.01631648655e+37,star_forming,False
0,0,Output19,17497,17374,False,7.70061271165e-07,10760625615.7,10.0318375217,285037184.325,0.285037184325,-10.5769360024,1063668.94907,147.763606093,9.31264962084e+18,0.00179530451056,0.00179530451056,8.36979207449e+39,1.34022287583e+44,1.50263254638e+37,1.50263254638e+37,1.12118109121e-07,1.12118109121e-07,6.24507477485e-05,6.25586285827e-05,1,True,2.65606612409e+13,1.6739584149e+40,star_forming,False
0,0,Output19,16005,17374,False,7.70061271165e-07,30810522350.5,10.4886990613,612079504.562,0.612079504562,-10.7018912238,2391148.15272,0.170903867348,1.07710408371e+16,8.87107291198e-07,8.87107291198e-07,9.68052873272e+36,3.01284667243e+44,8.58766762145e+30,8.58766762145e+30,2.85035003607e-14,2.85035003607e-14,3.21308376603e-08,3.2186342225e-08,1,True,30720147169.1,1.93610574654e+37,star_forming,False
0,0,Output19,13851,17374,False,7.70061271165e-07,182362465276,11.2609354546,13744.260141,1.3744260141e-05,-16.122814088,17857872.0267,1.24851281838,7.86862390013e+16,7.0906602858e-07,7.0906602858e-07,7.07196647977e+37,2.25009187537e+45,5.01449118606e+31,5.01449118606e+31,2.22857174898e-14,2.22857174898e-14,3.14296787486e-08,3.14839720931e-08,1,True,224421472248,1.41439329595e+38,quiescent,False
0,0,Output19,13815,17374,False,7.70061271165e-07,22300405691.1,10.3483127638,930316786.915,0.930316786915,-10.3796819063,2133805.93918,0.0617973210826,3.89471273724e+15,3.39207897746e-07,3.39207897746e-07,3.50039324228e+36,2.68859548337e+44,1.187361033e+30,1.187361033e+30,4.41628738998e-15,4.41628738998e-15,1.30194120459e-08,1.30419024897e-08,1,True,11108132471,7.00078648456e+36,star_forming,False
0,0,Output19,13392,17374,False,7.70061271165e-07,15564662759.5,10.1921397152,166671594.895,0.166671594895,-10.970278124,988425.524162,1.0379897289,6.54182373514e+16,1.30708315289e-05,1.30708315289e-05,5.87949796034e+37,1.24541616044e+44,7.68499273139e+32,7.68499273139e+32,6.17062229917e-12,6.17062229917e-12,4.72091028451e-07,4.72906544291e-07,1,True,186579728865,1.17589959207e+38,star_forming,False
0,0,Output19,11636,17374,False,7.70061271165e-07,31323122327.3,10.4958650466,544454665.841,0.544454665841,-10.7599033226,2607606.90427,572.27673531,3.60671539023e+19,0.00254364638689,0.00254364638689,3.2415541352e+40,3.28558469938e+44,8.24536746392e+37,8.24536746392e+37,2.50955863822e-07,2.50955863822e-07,9.8659886498e-05,9.88303169771e-05,1,True,1.02867335906e+14,6.4831082704e+40,star_forming,False
0,0,Output19,11297,17374,False,7.70061271165e-07,35989841723,10.5561799367,1466153348.57,1.46615334857,-10.3900005401,1633141.64896,0.0170564552025,1.07496558371e+15,1.38015629164e-07,1.38015629164e-07,9.66130885325e+35,2.0577584777e+44,1.33341161993e+29,1.33341161993e+29,6.47992285968e-16,6.47992285968e-16,4.69506453647e-09,4.70317504751e-09,1,True,3065915488.84,1.93226177065e+36,star_forming,False
0,0,Output19,11226,17374,False,7.70061271165e-07,23986068614.2,10.3799590717,1336540027.54,1.33654002754,-10.2539771019,1534140.23415,211.338981656,1.33194224169e+19,0.00169864616823,0.00169864616823,1.19708998749e+40,1.93301669503e+44,2.03343232029e+37,2.03343232029e+37,1.05194762441e-07,1.05194762441e-07,6.19285901964e-05,6.20355690272e-05,1,True,3.79884008464e+13,2.39417997499e+40,star_forming,False
0,0,Output19,11397,17374,False,7.70061271165e-07,35832495793,10.5542770586,239878811.768,0.239878811768,-11.1742851696,1780406.81733,4.46583857769,2.81454892967e+17,3.02611441019e-05,3.02611441019e-05,2.52959042635e+38,2.24331258984e+44,7.65483004106e+33,7.65483004106e+33,3.41228862876e-11,3.41228862876e-11,1.12761388574e-06,1.12956178758e-06,1,True,802739109821,5.0591808527e+38,star_forming,False
0,0,Output19,10391,17374,False,7.70061271165e-07,21589919600.1,10.334251025,432349068,0.432349068,-10.6984164979,1014988.39687,0.092246651703,5.81375054874e+15,1.1095023976e-06,1.1095023976e-06,5.22513841357e+36,1.27888538006e+44,5.79730359766e+30,5.79730359766e+30,4.5330908368e-14,4.5330908368e-14,4.08569719776e-08,4.09275505436e-08,1,True,16581431187.8,1.04502768271e+37,star_forming,False
