observable_key,method,subset_size,bin_index,x_plot,n_train_mean,n_test_total,pca_components_mean,pca_explained_variance_mean,n_valid,rmse,bias,r2,normalized_rmse,coverage_1sigma
smf_z0,pca_0p99,128,5,9.25,102.390625,128,6.0,0.9939506464895165,128,0.12948464397750536,0.0010697755120424833,0.8764427194724975,1.1817160670908737,0.6875
smf_z0,pca_0p99,128,6,9.5,102.390625,128,6.0,0.9939506464895165,128,0.17100624306031997,0.006044653828472196,0.862797418977229,1.3157768680312814,0.6953125
smf_z0,pca_0p99,128,7,9.75,102.390625,128,6.0,0.9939506464895165,128,0.25062516446859107,0.015178198489485904,0.8073865796961623,1.489362574358947,0.6328125
smf_z0,pca_0p99,128,8,10.0,102.390625,128,6.0,0.9939506464895165,128,0.3475998109430858,0.030637763058765664,0.7592173373378149,1.5868598179879592,0.6015625
smf_z0,pca_0p99,128,9,10.25,102.390625,128,6.0,0.9939506464895165,128,0.4088356400675272,0.04560025287068649,0.77906347448869,1.5113954343127112,0.5390625
smf_z0,pca_0p99,128,10,10.5,102.390625,128,6.0,0.9939506464895165,128,0.4726348897380573,0.054758358028546075,0.7958384101449785,1.4704288395461158,0.5625
smf_z0,pca_0p99,128,11,10.75,102.390625,128,6.0,0.9939506464895165,128,0.5865318412898886,0.05856861743299034,0.77661862702676,1.4227912908944367,0.5625
smf_z0,pca_0p99,128,12,11.0,102.390625,128,6.0,0.9939506464895165,128,0.6711018346667287,0.04602218296762696,0.7385040665510127,1.4376331789509216,0.5703125
smf_z0,pca_0p99,128,13,11.25,102.390625,128,6.0,0.9939506464895165,128,0.7698501187626251,0.012782973207598268,0.6351107489599679,1.440300747687082,0.5546875
smf_z0,pca_0p99,256,0,8.0,204.796875,256,6.0,0.9929807437696223,256,0.11373036653255628,-0.0008127362735108968,0.7808959282263118,1.0590668895203297,0.77734375
smf_z0,pca_0p99,256,1,8.25,204.796875,256,6.0,0.9929807437696223,256,0.07244989776536312,-0.0012929043225290088,0.7635461414716656,1.1569582204962285,0.69140625
smf_z0,pca_0p99,256,2,8.5,204.796875,256,6.0,0.9929807437696223,256,0.05100693972910381,-0.0004892674157577614,0.8934938966660133,0.9527987491989285,0.71875
smf_z0,pca_0p99,256,3,8.75,204.796875,256,6.0,0.9929807437696223,256,0.05824349927222427,0.0011672437381635634,0.9165130580584787,0.974555502675973,0.75
smf_z0,pca_0p99,256,4,9.0,204.796875,256,6.0,0.9929807437696223,256,0.08100683044774368,0.0028674797922514693,0.9040757815901904,1.0520255439291462,0.80078125
smf_z0,pca_0p99,256,5,9.25,204.796875,256,6.0,0.9929807437696223,256,0.10495622908516793,0.004112917255552304,0.9012738584648914,1.138947280508217,0.78125
smf_z0,pca_0p99,256,6,9.5,204.796875,256,6.0,0.9929807437696223,256,0.13712633396471022,0.0048318436822064855,0.8947764489258986,1.2649330637812444,0.734375
smf_z0,pca_0p99,256,7,9.75,204.796875,256,6.0,0.9929807437696223,256,0.1932017870861507,0.004700626635104465,0.8648752725246279,1.369155375685108,0.65234375
smf_z0,pca_0p99,256,8,10.0,204.796875,256,6.0,0.9929807437696223,256,0.25900126478818875,0.003831785386247165,0.8424654770064515,1.4190252316708825,0.62890625
smf_z0,pca_0p99,256,9,10.25,204.796875,256,6.0,0.9929807437696223,256,0.31982876885608796,0.001676943919930082,0.8398007942344127,1.4737685775338816,0.5546875
smf_z0,pca_0p99,256,10,10.5,204.796875,256,6.0,0.9929807437696223,256,0.42864826364519487,-0.0022318591014647993,0.8092187735454286,1.5528812982568927,0.53125
