observable_key,analysis,bin_index_after_mask,x_plot,target_plot,target_sigma_plot,prediction_plot,prediction_sigma_plot
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,8,8.173186268412275,-1.4646271911470679,0.018189123881309423,-1.500725066575354,0.08002582700157881
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,9,8.298853076409706,-1.5094819941361866,0.01564326332076906,-1.5440150601597216,0.08535990454911116
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,10,8.426511261364576,-1.5542100316265455,0.014438267299703886,-1.5901987918637237,0.09155027068909619
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,11,8.551449997972876,-1.6191670187810951,0.012981402409830861,-1.644498478225903,0.098344007428796
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,12,8.677606952720494,-1.7167745098035025,0.012241718033736854,-1.710757453074164,0.10770906124064374
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,13,8.803457115648413,-1.7776859816020187,0.011148050460116592,-1.7910684898401192,0.12183556319100104
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,14,8.929418925714293,-1.8865052073171946,0.010780359479867954,-1.8866927783608687,0.14161670155944361
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,15,9.046495164334708,-1.9838967532295593,0.010792319053286932,-2.0023851347526596,0.16772560457821875
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,16,9.181271771559462,-2.1454430580455623,0.012160804610744418,-2.1480490235343197,0.20191791040101345
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,17,9.307067950661299,-2.3118583555290706,0.014353453131835519,-2.326654262498381,0.24176570892607838
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,18,9.433129517580486,-2.5461173537048523,0.01828608344855797,-2.527647121207262,0.28544320197785794
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,19,9.55894844597804,-2.7685525915695606,0.024649146270184562,-2.754139865946888,0.33137131315930274
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,20,9.684755622108623,-3.124566711232598,0.03730136654383758,-2.972473269095528,0.37069401295914967
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,21,9.810635700275537,-3.470466976552361,0.05022453192078422,-3.157283774971067,0.41549662217318467
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,22,9.936513742478894,-3.947588231272023,0.12408413768664336,-3.28357048001631,0.46861846018419967
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,23,10.062356318085438,-5.035724319972574,0.43429448190325176,-3.414855336560405,0.5485816867750595
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,24,10.314099063295284,-4.792686271286279,0.43429448190325176,-3.748503486047538,0.6368687828777765
size_mass_vdw2014_star_forming_z0,stellarSizeMassRelationvanDerWel2014Sample1,0,9.25,0.4900000000000002,0.009999999999999997,0.6522704458396733,0.056101756190674625
size_mass_vdw2014_star_forming_z0,stellarSizeMassRelationvanDerWel2014Sample1,1,9.75,0.6099999999999999,0.009999999999999998,0.6765353327937698,0.045371106436842897
size_mass_vdw2014_star_forming_z0,stellarSizeMassRelationvanDerWel2014Sample1,2,10.25,0.6600000000000001,0.009999999999999998,0.6673945012589981,0.04246287675448246
size_mass_vdw2014_star_forming_z0,stellarSizeMassRelationvanDerWel2014Sample1,3,10.75,0.8300000000000001,0.01,0.7611569069842656,0.05274622077597035
size_mass_vdw2014_quiescent_z0,stellarSizeMassRelationvanDerWel2014Sample7,0,9.25,0.27,0.009999999999999997,0.37584497572644837,0.06875938650766779
size_mass_vdw2014_quiescent_z0,stellarSizeMassRelationvanDerWel2014Sample7,1,9.75,0.28000000000000025,0.009999999999999998,0.411738264050594,0.05791026422810325
